name,totalShots,shotsOnTarget,rating,interceptions,goals,position,appearances,accurateLongBalls,accuratePasses,successfulDribbles,keyPasses,tackles,assists,type
Diogo Dalot,2,1,7.2625,15,,D,8,19,345,6,7,15,1,overall
André Onana,,,7.2375,,,G,8,,228,,1,1,,overall
Amad Diallo,6,2,7.1166666666667,2,1,M,6,2,157,2,12,12,1,overall
Casemiro,11,2,7.1142857142857,2,,M,7,12,210,2,10,18,,overall
Bruno Fernandes,23,5,7.1125,6,,M,8,22,310,6,8,19,2,overall
Toby Collyer,,,7.1,,,M,1,1,15,1,1,4,,overall
Matthijs de Ligt,6,5,7.025,10,1,D,8,3,277,,2,11,,overall
Christian Eriksen,1,,7,1,,M,6,11,192,,12,6,,overall
Noussair Mazraoui,4,2,6.9857142857143,8,,D,8,8,259,7,3,23,1,overall
Lisandro Martínez,7,3,6.9714285714286,19,,D,7,16,413,1,3,12,,overall
Jonny Evans,1,,6.95,1,,D,4,3,111,,,7,,overall
Kobbie Mainoo,4,,6.9285714285714,14,,M,7,11,250,14,3,16,,overall
Marcus Rashford,8,5,6.925,3,1,M,8,5,142,5,10,5,1,overall
Alejandro Garnacho,22,10,6.8125,5,2,M,8,6,123,5,8,10,1,overall
Harry Maguire,1,,6.78,6,,D,5,2,153,2,1,2,,overall
Rasmus Højlund,2,1,6.725,,1,F,4,,22,2,1,,,overall
Joshua Zirkzee,9,6,6.65,2,1,F,8,,85,5,5,2,,overall
Antony,2,1,6.65,1,,M,2,,5,,1,2,,overall
Victor Lindelöf,,,6.65,1,,D,2,,13,,,3,,overall
Manuel Ugarte,,,6.6,,,M,4,,51,,,8,,overall
Mason Mount,2,2,6.4333333333333,,,M,3,,31,,4,5,,overall
Scott McTominay,1,,6.35,,,M,2,2,9,,,,,overall
