name,position,accuratePasses,accurateLongBalls,interceptions,totalShots,shotsOnTarget,appearances,rating,successfulDribbles,assists,goals,keyPasses,type,tackles
Cole Palmer,M,197,19,2,24,11,7,8.1428571428571,7,5,6,23,overall,7
Noni Madueke,M,99,3,3,22,9,6,7.5166666666667,9,,4,7,overall,8
Robert Sánchez,G,196,,,,,7,7.4714285714286,,,,,overall,
Jadon Sancho,M,86,1,,1,,4,7.4,12,3,,8,overall,1
Moisés Caicedo,M,335,10,10,4,,7,7.2714285714286,4,1,,4,overall,27
Nicolas Jackson,F,76,2,1,19,11,7,7.1857142857143,5,3,4,7,overall,1
Levi Colwill,D,444,24,10,2,1,7,6.9714285714286,2,,,2,overall,4
Enzo Fernández,M,253,19,2,4,2,6,6.9333333333333,3,,,8,overall,14
Marc Cucurella,D,292,9,6,,,7,6.9142857142857,1,,,1,overall,9
Renato Veiga,M,84,4,1,2,1,4,6.875,3,,,,overall,8
Roméo Lavia,M,47,1,3,,,2,6.85,,,,1,overall,3
Wesley Fofana,D,375,10,9,1,,7,6.8428571428571,3,,,4,overall,7
Tosin Adarabioyo,D,95,,1,,,3,6.8333333333333,1,,,1,overall,2
João Félix,F,57,2,1,7,2,5,6.82,3,,1,1,overall,2
Christopher Nkunku,F,57,1,1,4,3,7,6.8,3,,1,4,overall,3
Pedro Neto,F,86,,1,2,,7,6.7714285714286,7,1,,6,overall,4
Malo Gusto,D,206,14,3,4,1,5,6.74,1,,,1,overall,13
Axel Disasi,D,58,3,1,,,2,6.7,1,,,,overall,1
Mykhaylo Mudryk,M,13,1,,,,4,6.7,2,,,2,overall,
Kiernan Dewsbury-Hall,M,29,1,1,,,3,6.4666666666667,1,,,1,overall,
Marc Guiu,F,3,,,,,1,6.3,,,,,overall,
